Solver Grids Slack Delta_A Delta_B Anneal_Time Max_Bias Chain_Strength Chain_Break Energy Pcost Time Restriction1 Restriction2 Restriction2T Slack_On
4 10 5 2000 1 20 4000.0 2000.5 0.6 -10585.367500239994 292.26831710400006 0 6 -43.60399999999999 12.324000000000005 0
4 10 5 2000 1 20 4000.0 2000.5 0.56 -10571.439498079999 346.300719264 0 5 -22.903999999999996 33.024 0
4 10 5 2000 1 20 4000.0 2000.5 0.584 -10515.021378576006 150.83833956800004 0 6 -68.924 26.244 0
4 10 5 2000 1 20 4000.0 2000.5 0.568 -10499.858378639983 307.182035056 0 4 -30.727999999999994 52.84800000000001 0
4 10 5 2000 1 20 4000.0 2000.5 0.592 -10483.122563215999 330.519843184 0 5 -36.29599999999999 52.46400000000001 0
4 10 5 2000 1 20 4000.0 2000.5 0.592 -10429.518400463989 68.8593788 0 8 -92.5 34.74000000000001 0
4 10 5 2000 1 20 4000.0 2000.5 0.584 -10365.924407903985 263.95989635200004 0 5 -38.092 49.227999999999994 0
4 10 5 2000 1 20 4000.0 2000.5 0.6 -10361.027857679997 298.5709560160001 0 5 -33.127999999999986 50.44800000000002 0
4 10 5 2000 1 20 4000.0 2000.5 0.576 -10333.118833680011 328.54046872000004 0 5 -38.839999999999996 49.920000000000016 0
4 10 5 2000 1 20 4000.0 2000.5 0.568 -10309.659862912005 313.74043443200003 0 6 -43.291999999999994 12.636000000000003 0
4 10 5 2000 1 20 4000.0 2000.5 0.584 -10244.820267407995 129.50390628800002 0 6 -69.388 14.188000000000002 0
4 10 5 2000 1 20 4000.0 2000.5 0.616 -10229.488548223992 54.820896000000005 0 9 -95.68 29.920000000000016 0
4 10 5 2000 1 20 4000.0 2000.5 0.584 -10171.380160463996 75.92356920000002 0 6 -80.752 14.248000000000005 0
4 10 5 2000 1 20 4000.0 2000.5 0.584 -10157.489464496 375.8472512800001 0 5 -12.303999999999988 76.21600000000002 0
4 10 5 2000 1 20 4000.0 2000.5 0.584 -10138.900455312003 159.23456024000004 0 6 -52.628 34.176000000000016 0
4 10 5 2000 1 20 4000.0 2000.5 0.584 -10080.76574401599 152.58690968000002 0 6 -64.268 19.308000000000007 0
4 10 5 2000 1 20 4000.0 2000.5 0.568 -9994.126662271992 258.919538432 0 6 -47.611999999999995 20.412000000000006 0
4 10 5 2000 1 20 4000.0 2000.5 0.552 -9987.692914575993 152.58690968000002 0 6 -64.268 30.652000000000015 0
4 10 5 2000 1 20 4000.0 2000.5 0.576 -9976.409777456 142.21361416000002 0 5 -71.964 52.18800000000002 0
4 10 5 2000 1 20 4000.0 2000.5 0.592 -9971.425837327988 162.17630398400001 0 6 -55.364 22.800000000000004 0
4 10 5 2000 1 20 4000.0 2000.5 0.608 -9940.945744608005 420.99490179200006 0 4 -19.343999999999994 69.41600000000001 0
4 10 5 2000 1 20 4000.0 2000.5 0.576 -9928.358130063985 157.64898968000003 0 5 -46.748 38.55600000000001 0
4 10 5 2000 1 20 4000.0 2000.5 0.56 -9897.54339695999 204.076920352 0 6 -59.932 18.232 0
4 10 5 2000 1 20 4000.0 2000.5 0.56 -9834.620782000002 215.00786440000002 0 6 -54.176 34.584 0
4 10 5 2000 1 20 4000.0 2000.5 0.6 -9799.535634623993 76.66334048000002 0 9 -83.51599999999999 39.33600000000004 0
4 10 5 2000 1 20 4000.0 2000.5 0.576 -9730.38270024 179.463265072 0 6 -57.44 20.724000000000004 0
