Solver Grids Delta_A Delta_B Pcost Time Restriction1 Restriction2
1 10 50 30 648.94 0.106 3 -6.148
1 10 50 30 620.53 0.108 5 -10.312
1 10 50 30 597.85 0.100 3 -7.248
1 10 50 30 585.32 0.102 3 -7.084
1 10 50 30 598.73 0.109 2 -5.972
1 10 50 30 564.82 0.102 4 -7.944
1 10 50 30 721.61 0.101 4 -6.464
1 10 50 30 609.99 0.102 4 -6.880
1 10 50 30 650.18 0.101 3 -8.120
1 10 50 30 554.63 0.099 3 -8.980
1 10 50 30 583.52 0.107 4 -7.240
1 10 50 30 679.81 0.096 4 -7.968
1 10 50 30 587.46 0.106 4 -5.268
1 10 50 30 574.26 0.101 3 -8.620
1 10 50 30 593.50 0.104 4 -6.544
1 10 50 30 672.27 0.105 4 -6.852
1 10 50 30 601.58 0.102 3 -10.212
1 10 50 30 600.09 0.097 3 -7.908
1 10 50 30 646.70 0.108 4 -5.208
1 10 50 30 554.42 0.108 3 -7.880
1 10 50 30 599.38 0.103 4 -4.932
1 10 50 30 618.77 0.109 2 -6.788
1 10 50 30 658.72 0.110 4 -6.064
1 10 50 30 654.75 0.121 4 -6.748
1 10 50 30 537.50 0.106 3 -6.444
1 10 50 30 627.19 0.101 4 -7.548
1 10 50 30 711.22 0.110 5 -5.984
1 10 50 30 607.06 0.121 3 -5.956
1 10 50 30 685.39 0.131 4 -6.160
1 10 50 30 656.47 0.109 3 -7.624
1 10 50 30 623.48 0.105 4 -7.604
1 10 50 30 564.61 0.123 3 -6.880
1 10 50 30 550.49 0.100 4 -7.004
1 10 50 30 461.35 0.104 4 -9.268
1 10 50 30 523.82 0.102 3 -9.228
1 10 50 30 600.39 0.100 3 -7.332
1 10 50 30 642.31 0.099 3 -6.696
1 10 50 30 488.34 0.100 4 -5.416
1 10 50 30 730.62 0.102 4 -6.780
1 10 50 30 603.25 0.109 3 -6.304
1 10 50 30 637.72 0.096 4 -6.004
1 10 50 30 672.40 0.101 4 -8.848
1 10 50 30 516.26 0.121 4 -9.244
1 10 50 30 530.11 0.101 3 -7.300
1 10 50 30 648.94 0.103 3 -5.572
1 10 50 30 487.51 0.112 4 -5.852
1 10 50 30 576.91 0.112 4 -6.004
1 10 50 30 580.12 0.111 4 -6.004
1 10 50 30 570.28 0.100 3 -7.500
1 10 50 30 536.20 0.100 5 -5.536
1 10 50 30 567.21 0.111 3 -8.824
1 10 50 30 392.46 0.102 2 -7.168
1 10 50 30 618.82 0.099 4 -6.012
1 10 50 30 596.59 0.097 3 -8.440
1 10 50 30 608.52 0.115 4 -6.004
1 10 50 30 563.39 0.097 4 -6.796
1 10 50 30 583.14 0.108 5 -5.392
1 10 50 35 703.55 0.100 4 -7.324
