Solver Grids Delta_A Delta_B Pcost Time Restriction1 Restriction2
1 10 4000 4 379.96 0.163 0 -4.456
1 10 4000 4 259.90 0.177 0 -14.584
1 10 4000 5 441.29 0.150 0 -9.164
1 10 4000 5 232.94 0.145 0 -46.104
1 10 4000 5 412.97 0.146 0 0.280
1 10 4000 5 291.72 0.141 0 0.180
1 10 4000 5 434.00 0.154 0 -3.416
1 10 4000 5 391.11 0.153 0 -1.880
1 10 4000 5 271.43 0.139 0 -29.660
1 10 4000 5 358.37 0.163 0 -35.008
1 10 4000 5 383.59 0.147 0 -26.844
1 10 4000 5 219.24 0.142 0 -26.024
1 10 4000 5 333.26 0.162 0 1.116
1 10 4000 5 352.33 0.147 0 -11.916
1 10 4000 5 409.87 0.144 0 -4.768
1 10 4000 5 391.01 0.153 0 -10.016
1 10 4000 5 390.66 0.160 0 -12.160
1 10 4000 5 423.46 0.165 0 -0.756
1 10 4000 5 475.61 0.167 0 2.816
1 10 4000 5 325.87 0.148 0 -17.788
1 10 4000 5 432.64 0.153 0 -1.580
1 10 4000 5 260.81 0.181 0 -11.812
1 10 4000 5 333.89 0.164 0 -31.880
1 10 4000 5 381.83 0.165 0 -17.140
1 10 4000 5 411.54 0.161 0 -14.676
1 10 4000 5 306.10 0.158 0 -14.104
1 10 4000 5 344.79 0.148 0 -12.172
1 10 4000 5 420.85 0.182 0 -18.316
1 10 4000 5 405.23 0.147 0 -10.564
1 10 4000 5 372.84 0.156 0 -6.168
1 10 4000 5 407.95 0.172 0 -6.412
1 10 4000 5 372.99 0.157 0 -14.880
1 10 4000 5 327.89 0.163 0 -25.296
1 10 4000 5 419.50 0.167 0 -12.040
1 10 4000 5 444.72 0.167 0 -12.416
1 10 4000 5 332.94 0.161 0 -15.828
1 10 4000 5 425.02 0.183 0 -6.684
1 10 4000 5 492.89 0.150 0 6.788
1 10 4000 5 407.57 0.154 0 1.396
1 10 4000 5 443.13 0.161 0 -9.068
1 10 4000 5 313.41 0.161 0 -19.180
1 10 4000 5 379.97 0.163 0 -7.212
1 10 4000 5 376.91 0.149 0 3.628
1 10 4000 5 353.68 0.160 0 -22.620
1 10 4000 5 321.13 0.153 0 -6.136
1 10 4000 5 290.16 0.137 0 -31.452
1 10 4000 5 421.28 0.143 0 0.832
1 10 4000 5 429.17 0.148 0 -6.632
1 10 4000 5 364.21 0.158 0 -33.732
1 10 4000 5 446.99 0.148 0 -1.232
1 10 4000 5 339.46 0.144 0 -21.064
1 10 4000 5 398.01 0.185 0 -3.948
1 10 4000 5 341.57 0.167 0 -4.044
1 10 4000 5 277.23 0.169 0 -6.452
1 10 4000 5 306.66 0.158 0 -26.152
1 10 4000 5 498.17 0.142 0 0.308
1 10 4000 5 425.87 0.168 0 -7.452
1 10 4000 5 297.67 0.166 0 -15.556
1 10 4000 5 351.31 0.152 0 -37.416
1 10 4000 5 445.36 0.146 0 -16.152
1 10 4000 5 382.93 0.168 0 1.884
1 10 4000 5 305.68 0.150 0 -20.712
1 10 4000 5 330.04 0.153 0 -39.320
1 10 4000 5 404.50 0.157 0 -0.512
1 10 4000 5 474.15 0.144 0 -4.188
1 10 4000 5 336.03 0.150 0 -23.560
1 10 4000 5 392.96 0.187 0 -9.864
1 10 4000 5 351.86 0.165 0 -20.128
1 10 4000 5 414.28 0.158 0 -10.772
1 10 4000 5 374.19 0.149 0 -7.600
1 10 4000 5 444.50 0.158 0 7.060
1 10 4000 5 425.52 0.147 0 -18.204
1 10 4000 5 453.10 0.162 0 -6.604
1 10 4000 5 277.57 0.131 0 -26.796
1 10 4000 5 374.48 0.150 0 -17.004
1 10 4000 5 267.40 0.170 0 -22.392
1 10 4000 5 438.02 0.152 0 -19.612
1 10 4000 5 405.73 0.152 0 -9.424
1 10 4000 5 303.53 0.151 0 -6.272
1 10 4000 5 438.23 0.160 0 -13.812
1 10 4000 5 450.43 0.150 0 -7.128
1 10 4000 5 284.51 0.157 0 -35.316
1 10 4000 5 361.93 0.138 0 -25.736
1 10 4000 5 458.03 0.140 0 -8.928
1 10 4000 5 368.39 0.168 0 -12.824
1 10 4000 5 265.33 0.166 0 -9.712
1 10 4000 5 374.81 0.164 0 -7.388
1 10 4000 5 294.99 0.180 0 -4.316
1 10 4000 5 334.62 0.153 0 -32.940
1 10 4000 5 370.92 0.159 0 -9.020
1 10 4000 5 447.60 0.150 0 -3.912
1 10 4000 5 241.40 0.154 0 -40.500
1 10 4000 5 351.61 0.144 0 -6.980
1 10 4000 5 324.83 0.146 0 -9.604
1 10 4000 5 405.07 0.156 0 1.300
1 10 4000 5 409.35 0.143 0 -7.808
1 10 4000 5 373.29 0.141 0 -11.792
1 10 4000 5 296.58 0.165 0 -41.572
1 10 4000 5 368.83 0.146 0 2.940
1 10 4000 5 425.58 0.151 0 0.804
1 10 4000 5 391.05 0.146 0 -6.600
1 10 4000 5 432.34 0.145 0 -8.784
1 10 4000 6 370.69 0.150 0 -21.952
1 10 4000 6 211.26 0.175 0 -27.864
1 10 4000 6 273.66 0.158 0 -22.452
1 10 4000 6 402.77 0.142 0 -11.588
1 10 4000 6 238.34 0.125 0 -30.792
1 10 4000 6 400.92 0.143 0 -4.128
1 10 4000 6 262.15 0.160 0 -23.680
1 10 4000 6 386.86 0.159 0 -17.076
1 10 4000 6 353.16 0.159 0 -10.792
1 10 4000 6 280.94 0.173 0 -24.748
1 10 4000 6 332.56 0.206 0 -18.292
1 10 4000 6 361.13 0.229 0 -44.416
1 10 4000 6 378.34 0.194 0 -15.828
1 10 4000 6 382.79 0.219 0 -1.396
1 10 4000 6 407.16 0.198 0 -15.440
1 10 4000 6 474.91 0.169 0 0.856
1 10 4000 6 311.34 0.162 0 -2.808
1 10 4000 6 383.70 0.157 0 -19.924
1 10 4000 6 312.85 0.156 0 -12.056
1 10 4000 6 344.63 0.150 0 -23.776
1 10 4000 6 237.42 0.156 0 -23.500
1 10 4000 6 515.99 0.142 0 2.728
1 10 4000 6 292.55 0.144 0 -25.480
1 10 4000 6 314.71 0.153 0 -19.584
1 10 4000 6 355.48 0.138 0 -18.164
1 10 4000 6 394.37 0.145 0 -1.500
1 10 4000 6 318.20 0.146 0 -7.648
1 10 4000 6 335.86 0.158 0 -41.492
1 10 4000 6 381.98 0.157 0 2.028
